CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_COBERTURA;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;MODALIDAD_FORMACION;NIVEL_FORMACION;NUMERO_CURSOS;JOVENES_VULNERABLES___Aprendices_Masc_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Fem_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_NoBin_de_17_años_y_menores;JOVENES_VULNERABLES___Total_Aprendices_de_17_años_y_menores;JOVENES_VULNERABLES___Aprendices_Masc_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_Fem_de_18_años_y_mayores;JOVENES_VULNERABLES___Aprendices_NoBin_de_18_años_y_mayores;JOVENES_VULNERABLES___Total_Aprendices_de_18_años_y_mayores;GRAN_TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2394497;12394497;525214;2;ACTIVIDAD FISICA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;6;1;0;7;7;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2427882;12427882;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2427893;12427893;225311;1;LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;4;2;0;6;6;8:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2452439;12452439;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;2;0;0;2;2;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;698;SANTANDER DE QUILICHAO;0;;;0;;2452441;12452441;525203;100;ENTRENAMIENTO DEPORTIVO;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2452442;12452442;228106;102;ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;2;4;0;6;6;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2452468;12452468;525214;2;ACTIVIDAD FISICA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;1;0;2;2;6:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2452714;12452714;225219;1;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;1;0;2;2;179:05:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;4;CURSOS FIC;N;0;;2469519;12469519;225311;1;LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;0;0;1;1;12:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;2135;ATENCION A INSTITUCIONES;2500262;12500262;821203;1;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;3;0;0;3;3;0:05
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;57;COLOMBIA;19;CAUCA;1;POPAYÁN;0;;;0;;2501304;12501304;525214;2;ACTIVIDAD FISICA;PRESENCIAL;TECNÓLOGO;1;0;0;0;0;1;2;0;3;3;2:05
