CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;NIVEL_FORMACION;IDENTIFICADOR_FICHA;IDENTIFICADOR_UNICO_FICHA;NOMBRE_ESTADO_FICHA;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA_FORMACION;DURACION_PROGRAMA;CODIGO_PAIS_CURSO;NOMBRE_PAIS_CURSO;CODIGO_DEPARTAMENTO_CURSO;NOMBRE_DEPARTAMENTO_CURSO;CODIGO_MUNICIPIO_CURSO;NOMBRE_MUNICIPIO_CURSO;CODIGO_PROGRAMA_ESPECIAL;NOMBRE_PROGRAMA_ESPECIAL;CODIGO_CONVENIO;NOMBRE_CONVENIO;APLIACION_COBERTURA;MODALIDAD_FORMACION;NUMERO_CURSOS;Sisben_Nivel_1__Aprend_Masc;Sisben_Nivel_1__Aprend_Fem;Sisben_Nivel_1__Aprend_NoBin;Sisben_Nivel_1__Total_Aprend;Sisben_Nivel_2__Aprend_Masc;Sisben_Nivel_2__Aprend_Fem;Sisben_Nivel_2__Aprend_NoBin;Sisben_Nivel_2__Total_Aprend;Sisben_Nivel_3__Aprend_Masc;Sisben_Nivel_3__Aprend_Fem;Sisben_Nivel_3__Aprend_NoBin;Sisben_Nivel_3__Total_Aprend;Sisben_Nivel_4__Aprend_Masc;Sisben_Nivel_4__Aprend_Fem;Sisben_Nivel_4__Aprend_NoBin;Sisben_Nivel_4__Total_Aprend;Sisben_Nivel_5__Aprend_Masc;Sisben_Nivel_5__Aprend_Fem;Sisben_Nivel_5__Aprend_NoBin;Sisben_Nivel_5__Total_Aprend;Sisben_Nivel_6__Aprend_Masc;Sisben_Nivel_6__Aprend_Fem;Sisben_Nivel_6__Aprend_NoBin;Sisben_Nivel_6__Total_Aprend;No_registra_nivel_Sisben__Aprend_Masc;No_registra_nivel_Sisben__Aprend_Fem;No_registra_nivel_Sisben__Aprend_NoBin;No_registra_nivel_Sisben__Total_Aprend;TOTAL_APRENDICES_MASCULINOS;TOTAL_APRENDICES_FEMENINOS;TOTAL_APRENDICES_NOBINARIO;TOTAL_APRENDICES;TOTAL_HORAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2906168;12906168;Terminada;93510498;1;CONFECCION DE ROPA HOGAR EN TECNICA DE  PATCHWORK;48;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;19;0;20;0;20;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2908381;12908381;Terminada;41311386;1;IMPLEMENTACION DE ACCIONES DE FORMACION PROFESIONAL;60;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;13;4;10;0;14;60:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2910661;12910661;Terminada;13530036;1;MANEJO BÁSICO DE HERRAMIENTAS OFIMATICAS I;50;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;12;12;2;0;14;50:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2906802;12906802;Terminada;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);40;57;COLOMBIA;19;CAUCA;1;POPAYÁN;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;VIRTUAL;1;1;1;0;2;2;1;0;3;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;54;19;0;73;59;21;0;80;40:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2911225;12911225;Terminada;12350000;1;ELABORACION DEL PRESUPUESTO PARA EL MANEJO DE LAS FINANZAS PERSONALES;48;57;COLOMBIA;19;CAUCA;130;CAJIBIO;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;2;6;0;8;1;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;13;0;15;5;23;0;28;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2906792;12906792;Terminada;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;40;57;COLOMBIA;19;CAUCA;1;POPAYÁN;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;VIRTUAL;1;2;0;0;2;2;1;0;3;1;1;0;2;1;0;0;1;0;0;0;0;0;1;0;1;53;18;0;71;59;21;0;80;40:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2909445;12909445;Terminada;83240115;1;DOMOTICA E INMOTICA PARA VIVIENDA Y EDIFICIOS;48;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;2;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;21;2;0;23;26;2;0;28;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2913280;12913280;Terminada;93530234;1;PREARMADO DE PIEZAS PARA MARROQUINERIA;48;57;COLOMBIA;19;CAUCA;573;PUERTO TEJADA;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;8;0;8;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;5;0;5;0;21;0;21;48:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2905552;12905552;Terminada;52660008;1;ELABORACION DE PRODUCTOS ARTESANALES CON RECURSOS NATURALES;96;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;1;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;14;11;6;0;17;98:00:00
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;CURSO ESPECIAL;2908310;12908310;Terminada;52430462;1;CONCEPTUALIZACION PARA EL DISEÑO DE COLECCIONES EN CALZADO Y MARROQUINERIA;60;57;COLOMBIA;19;CAUCA;1;POPAYÁN;2135;ATENCION A INSTITUCIONES;0;;;PRESENCIAL;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;16;8;8;0;16;60:00:00
