CODIGO_REGIONAL;REGIONAL;CODIGO_CENTRO;CENTRO;CODIGO_PROGRAMA;VERSION_PROGRAMA;PROGRAMA;NIVEL_FORMACION;DURACION_MAXIMA;DURACION_ETAPA_LECTIVA;DURACION_ETAPA_PRODUCTIVA;FICHA;FECHA_INICIO_FICHA;FECHA_FIN_FICHA;CUPO;ESTADO_FICHA;TIPO_RESPUESTA;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_COBERTURA;CONVENIO;TIPO_DOCUMENTO_EMPRESA;NUMERO_DOCUMENTO_EMPRESA;EMPRESA;EN_TRANSITO;INDUCCION;FORMACION;CONDICIONADO;APLAZADO;RETIRO_VOLUNTARIO;CANCELAMIENTO_VIRT_COMP;DESERCION_VIRT_COMP;CANCELADO;POR_CERTIFICAR;CERTIFICADO;TRASLADADO;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;961202;1;FABRICACION METALMECANICA;AUXILIAR;1296;864;432;2823064;2023-10-02 00:00:00.0;2024-07-01 00:00:00.0;30;En ejecucion;ABIERTA;;0;;;;;;0;0;19;0;0;2;0;0;0;0;0;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2763346;2023-05-12 00:00:00.0;2023-06-14 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;2;0;0;71;0;7;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2763348;2023-05-12 00:00:00.0;2023-06-14 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;6;0;0;66;0;8;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2763350;2023-05-12 00:00:00.0;2023-06-14 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;5;0;0;70;0;5;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2763351;2023-05-12 00:00:00.0;2023-06-14 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;5;0;0;68;0;7;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2829083;2023-08-21 00:00:00.0;2023-09-21 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;5;0;0;65;0;10;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2829084;2023-08-21 00:00:00.0;2023-09-21 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;6;0;0;66;0;8;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2829085;2023-08-21 00:00:00.0;2023-09-21 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;7;0;0;61;0;12;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2829086;2023-08-21 00:00:00.0;2023-09-21 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;4;0;0;71;0;5;0;0
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;21710112;1;ANALISIS EXPLORATORIO DE DATOS EN PYTHON.;COMPLEMENTARIA VIRTUAL;48;0;0;2883752;2023-11-13 00:00:00.0;2023-12-14 00:00:00.0;80;Terminada;ABIERTA;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;0;0;0;0;0;8;0;0;57;0;15;0;0
