CODIGO_REGIONAL;REGIONAL;CODIGO_CENTRO;CENTRO;FICHA_CARACTERIZACION;FECHA_INICIAL;FECHA_FINAL;ESTADO_FICHA;CODIGO_PROGRAMA;VERSION;PROGRAMA_FORMACION;NIVEL_DE_FORMACION;APRENDICES_MATRICULADOS;APRENDICES_CERTIFICADOS;APRENDICES_SIN_CERTIFICADOS;APRENDICES_SIN_JUICIO;APRENDICES_NO_APROBADOS;CODIGO_CONVENIO;NOMBRE_CONVENIO;AMPLIACION_DE_COBERTURA(S/N);CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909447;2024-02-09 00:00:00.0;2024-02-15 00:00:00.0;Terminada;12350000;1;ELABORACION DEL PRESUPUESTO PARA EL MANEJO DE LAS FINANZAS PERSONALES;CURSO ESPECIAL;24;23;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906810;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;11;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911232;2024-02-15 00:00:00.0;2024-02-29 00:00:00.0;Terminada;83610007;1;COSTOS Y PRESUPUESTOS PARA CONSTRUCCION;CURSO ESPECIAL;19;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910213;2024-02-10 00:00:00.0;2024-02-19 00:00:00.0;Terminada;33110210;1;MANEJO DE RESIDUOS GENERADOS DE LA ATENCION EN SALUD HUMANA;CURSO ESPECIAL;28;23;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910322;2024-02-10 00:00:00.0;2024-02-29 00:00:00.0;Terminada;13410564;1;MANEJO INTERMEDIO DE LA HERRAMIENTA DE HOJAS DE CALCULO EXCEL;CURSO ESPECIAL;17;17;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906812;2024-02-06 00:00:00.0;2024-02-22 00:00:00.0;Terminada;52450469;1;PATRONAJE DE VESTIDOS DE BAÑO PARA DAMA;CURSO ESPECIAL;20;20;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909445;2024-02-12 00:00:00.0;2024-03-05 00:00:00.0;Terminada;83240115;1;DOMOTICA E INMOTICA PARA VIVIENDA Y EDIFICIOS;CURSO ESPECIAL;28;25;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907001;2024-02-07 00:00:00.0;2024-02-17 00:00:00.0;Terminada;13530036;1;MANEJO BÁSICO DE HERRAMIENTAS OFIMATICAS I;CURSO ESPECIAL;26;23;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2913280;2024-02-19 00:00:00.0;2024-03-04 00:00:00.0;Terminada;93530234;1;PREARMADO DE PIEZAS PARA MARROQUINERIA;CURSO ESPECIAL;21;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907159;2024-02-09 00:00:00.0;2024-03-15 00:00:00.0;Terminada;93510093;2;TRAZO, CORTE Y CONFECCIÓN DE CAMISA MASCULINA;CURSO ESPECIAL;25;11;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2905549;2024-02-02 00:00:00.0;2024-03-22 00:00:00.0;Terminada;42110153;1;EJERCICIO DERECHOS FUNDAMENTALES EN EL TRABAJO;CURSO ESPECIAL;36;17;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910186;2024-02-13 00:00:00.0;2024-02-27 00:00:00.0;Terminada;84510020;1;INSPECCIÓN PRE OPERACIONAL DE LA EXCAVADORA;CURSO ESPECIAL;14;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906796;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;13;1;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2905988;2024-02-06 00:00:00.0;2024-03-12 00:00:00.0;Terminada;83830299;1;MANTENIMIENTO PREVENTIVO DE MOTOCICLETAS Y MOTOCARROS;CURSO ESPECIAL;18;7;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911039;2024-02-26 00:00:00.0;2024-04-09 00:00:00.0;Terminada;13410017;1;COMPORTAMIENTO EMPRENDEDOR;CURSO ESPECIAL;17;8;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909432;2024-02-12 00:00:00.0;2024-02-29 00:00:00.0;Terminada;93510498;1;CONFECCION DE ROPA HOGAR EN TECNICA DE  PATCHWORK;CURSO ESPECIAL;18;18;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906801;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;16;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911542;2024-02-14 00:00:00.0;2024-03-05 00:00:00.0;Terminada;52430133;1;DISEÑO Y CONFECCIÓN DE PRENDAS DE VESTIR;CURSO ESPECIAL;13;13;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906168;2024-02-06 00:00:00.0;2024-02-28 00:00:00.0;Terminada;93510498;1;CONFECCION DE ROPA HOGAR EN TECNICA DE  PATCHWORK;CURSO ESPECIAL;20;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908381;2024-02-08 00:00:00.0;2024-02-21 00:00:00.0;Terminada;41311386;1;IMPLEMENTACION DE ACCIONES DE FORMACION PROFESIONAL;CURSO ESPECIAL;14;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910661;2024-02-23 00:00:00.0;2024-03-11 00:00:00.0;Terminada;13530036;1;MANEJO BÁSICO DE HERRAMIENTAS OFIMATICAS I;CURSO ESPECIAL;14;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906802;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;13;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911225;2024-02-16 00:00:00.0;2024-02-22 00:00:00.0;Terminada;12350000;1;ELABORACION DEL PRESUPUESTO PARA EL MANEJO DE LAS FINANZAS PERSONALES;CURSO ESPECIAL;28;28;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909068;2024-02-10 00:00:00.0;2024-04-13 00:00:00.0;Terminada;4000009;1;FRESADO CONVENCIONAL DE PIEZAS MECANICAS SENCILLAS;CURSO ESPECIAL;16;12;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906805;2024-02-17 00:00:00.0;2024-02-29 00:00:00.0;Terminada;52450111;1;PATRONAJE Y ESCALADO DE ROPA DEPORTIVA;CURSO ESPECIAL;19;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909403;2024-02-12 00:00:00.0;2024-02-21 00:00:00.0;Terminada;66320008;3;MANEJO INTEGRADO DE PLAGAS EN SALUD PUBLICA;CURSO ESPECIAL;19;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911204;2024-02-13 00:00:00.0;2024-03-12 00:00:00.0;Terminada;83750093;1;SERVICIO TECNICO A EQUIPOS DE REFRIGERACION CON R - 600a;CURSO ESPECIAL;22;17;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906792;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;11;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909046;2024-02-07 00:00:00.0;2024-03-27 00:00:00.0;Terminada;93530232;1;COSTURA DE PIEZAS PARA MARROQUINERIA;CURSO ESPECIAL;15;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2453331;2021-11-04 00:00:00.0;2021-12-15 00:00:00.0;Terminada;22810245;1;FUNDAMENTOS DE CABLEADO, VOZ Y DATOS;CURSO ESPECIAL;5;6;5;0;0;0;;;1008;ALIANZAS ESTRATEGICAS
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908396;2024-02-09 00:00:00.0;2024-02-28 00:00:00.0;Terminada;12110084;1;ANALISIS ORGANIZACIONAL POR PROCESOS;CURSO ESPECIAL;24;24;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906975;2024-02-09 00:00:00.0;2024-03-06 00:00:00.0;Terminada;52450045;1;ELABORACIÓN DE PATRONES BASICOS DE BLUSA, FALDA Y PANTALÓN;CURSO ESPECIAL;28;14;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906807;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;15;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911669;2024-02-15 00:00:00.0;2024-03-06 00:00:00.0;Terminada;52441511;1;DECORACION EN GLOBOS;CURSO ESPECIAL;20;16;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906808;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;12;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910355;2024-02-12 00:00:00.0;2024-02-29 00:00:00.0;Terminada;3000035;1;WORD BASICO;CURSO ESPECIAL;18;18;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908957;2024-02-19 00:00:00.0;2024-04-10 00:00:00.0;Terminada;83610245;1;LOCALIZACION Y REPLANTEO DE TERRENOS PARA LA CONSTRUCCION;CURSO ESPECIAL;21;21;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906076;2024-02-06 00:00:00.0;2024-02-28 00:00:00.0;Terminada;52450089;1;CONOCIMIENTOS BASICOS DE PATRONAJE, CORTE Y CONFECCIÓN DE FALDA Y BLUSA;CURSO ESPECIAL;19;16;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909434;2024-02-10 00:00:00.0;2024-04-06 00:00:00.0;Terminada;83240115;1;DOMOTICA E INMOTICA PARA VIVIENDA Y EDIFICIOS;CURSO ESPECIAL;26;21;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909422;2024-02-10 00:00:00.0;2024-02-29 00:00:00.0;Terminada;93240137;1;TRATAMIENTO PRIMARIO DE RESIDUOS SOLIDOS;CURSO ESPECIAL;28;13;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906836;2024-02-06 00:00:00.0;2024-02-19 00:00:00.0;Terminada;22810239;1;ALFABETIZACIÓN INFORMÁTICA;CURSO ESPECIAL;18;11;0;0;0;0;;;1003;AULA MÓVIL
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906860;2024-02-08 00:00:00.0;2024-02-16 00:00:00.0;Terminada;3000035;1;WORD BASICO;CURSO ESPECIAL;17;12;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908052;2024-02-10 00:00:00.0;2024-03-24 00:00:00.0;Terminada;21330020;1;DISEÑO Y MONTAJE DE SISTEMAS SOLARES FOTOVOLTAICOS BASICOS;CURSO ESPECIAL;38;18;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907758;2024-02-05 00:00:00.0;2024-02-26 00:00:00.0;Terminada;93930020;1;APLICACIÓN DE PINTURA EN MADERA.;CURSO ESPECIAL;17;15;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906800;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;24;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907003;2024-02-08 00:00:00.0;2024-03-21 00:00:00.0;Terminada;83230029;1;FUNDAMENTOS DE ELECTRICIDAD;CURSO ESPECIAL;26;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909089;2024-02-10 00:00:00.0;2024-03-10 00:00:00.0;Terminada;83830000;1;MANTENIMIENTO DE MOTORES DE 2 Y 4 TIEMPOS EN EQUIPOS UTILITARIOS;CURSO ESPECIAL;28;16;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906793;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;22;1;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2905925;2024-02-06 00:00:00.0;2024-03-27 00:00:00.0;Terminada;12210008;1;REDACCION Y ORTOGRAFIA;CURSO ESPECIAL;25;23;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2905552;2024-02-14 00:00:00.0;2024-03-23 00:00:00.0;Terminada;52660008;1;ELABORACION DE PRODUCTOS ARTESANALES CON RECURSOS NATURALES;CURSO ESPECIAL;17;17;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2910112;2024-02-09 00:00:00.0;2024-02-29 00:00:00.0;Terminada;52450447;1;MODELAJE  MANUAL DE BOLSOS TIPO PINZA;CURSO ESPECIAL;19;19;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906795;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;Terminada;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;15;0;0;0;0;;;1001;AMBIENTES VIRTUALES DE APRENDIZAJE
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908310;2024-02-08 00:00:00.0;2024-02-23 00:00:00.0;Terminada;52430462;1;CONCEPTUALIZACION PARA EL DISEÑO DE COLECCIONES EN CALZADO Y MARROQUINERIA;CURSO ESPECIAL;16;13;0;0;0;0;;;2135;ATENCION A INSTITUCIONES
